Symbol Name,Character,UEB,UEB MathML example,BAUK,BAUK MathML example,Marburg,Marburg Mathml example,Unified Spanish ,Unified Spanish mathml example,Woluwe,Woluwe mathml example,Antoine,Antoine mathml example,Italian,Italian mathml example,Swedish,Sweden mathml example,Finnish,Mathml  example,Russian,Mathml example,Unified Arabic,Unified Arabic ASCII
dot between bars of equals sign,,,,,,,,,,,,⠶⠶,,,,,,,,,,,
dot over and dot under equals sign,,⠨⠐⠶,,⠸⠶,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""normal"">A</mi><mo mathvariant=""normal"">&eDot;</mo><mi mathvariant=""normal"">B</mi></math>",,,,,,,,,,,,,,,,,⠘⠰⠶,^;7
dot over equals sign ( is approximately equal to )  ,,,,,,,,⠈⠶,,,,,,⠷,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mi mathvariant=""normal""> </mi><mo mathvariant=""normal"">≐</mo><mi mathvariant=""normal""> </mi><mi mathvariant=""italic"">y</mi></math>",,,,,,,, 
dot over identical,,⠸⠿⠘⠲,,,,,,,,,,,,,,,,,,,,,
dot over tilde,,,,,,,,⠈⠢⠄,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mo mathvariant=""normal"">⩪</mo><mi mathvariant=""normal"">y</mi></math>",,,,,,,,,,,,,,
dot under horizontal bar,,,,,,,,,,,,,,,,,,,,,,,
dot under simple tilde,,,,,,,,⠠⠢⠄,,,,,,,,,,,,,,,
dot within inclusion sign,,,,,,,,,,,,,,,,,,,,,,,
dot within reverse inclusion sign,,,,,,,,,,,,,,,,,,,,,,,
"dot,and times",,⠐⠲,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""normal"">x</mi><mo mathvariant=""normal"">&sdot;</mo><mi mathvariant=""normal"">y</mi></math>",⠰⠄,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mo mathvariant=""normal"">&sdot;</mo><mi mathvariant=""italic"">y</mi></math>",⠄,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mo mathvariant=""normal"">&sdot;</mo><mi mathvariant=""italic"">y</mi></math>",⠄,,⠦,,⠔⠔,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mo mathvariant=""normal"">⋅</mo><mi mathvariant=""italic"">y</mi></math>",⠦,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mo mathvariant=""normal"">&sdot;</mo><mi mathvariant=""italic"">y</mi></math>",⠻⠄,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mo mathvariant=""normal"">&sdot;</mo><mi mathvariant=""italic"">y</mi></math>",⠄,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mo mathvariant=""normal"">&sdot;</mo><mi mathvariant=""italic"">y</mi></math>",⠄,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mo mathvariant=""normal"">&sdot;</mo><mi mathvariant=""italic"">y</mi></math>",⠐⠲,"""4"
dotted arrow shaft,,⠂⠂,,,,,,,,,,,,,,,,,,,,,
double capitalization indicator,,⠠⠠,AB,,,,,,,,,,,,,,,,,,,,
double contour integral/surface integral,,,,,,⠮⠮⠴,,,,,,⠨⠯⠯,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mo>&#x222F;</mo><mi>f</mi><mo>(</mo><mi>x</mi><mo>,</mo><mi>y</mi><mo>)</mo><mi>d</mi><mi>x</mi><mi>d</mi><mi>y</mi></math>",,,,,,,,,,
double dagger,,⠈⠠⠻,,,,,,,,,,,,,,,,,,,,⠈⠠⠻," @,}"
double enlarged vertical bar,,,,,,,,,,,,⠨⠿,,,,⠻⠸⠻⠸,,,,,,,
double integral,∬,,,,,⠮⠮,,⠯⠯⠱,,,,⠯⠯,,⠻⠻,,⠮⠮,,,,,,⠐⠮⠮,"""!!"
double section mark,,,,,,,,,,,,,,,,,,,,,,,
double prime,″,⠶⠶,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mn mathvariant=""normal"">5</mn><mo mathvariant=""normal"">&prime;</mo><mi mathvariant=""normal"">&MediumSpace;</mi><mn mathvariant=""normal"">3</mn><mn mathvariant=""normal"">0</mn><mo mathvariant=""normal"">&prime;</mo><mo mathvariant=""normal"">&prime;</mo></math>",⠈⠔⠔,,⠔⠔,,⠳⠳,,⠔⠔,,⠄⠄,,⠠⠠,,⠐⠐,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>r</mi><mo>″</mo></math>",⠔⠔,,⠔⠔,,,
double tilde,≈,⠘⠔,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">&pi;</mi><mo mathvariant=""normal"">&ap;</mo><mn mathvariant=""normal"">3</mn><mo mathvariant=""normal"">.</mo><mn mathvariant=""normal"">1</mn><mn mathvariant=""normal"">4</mn></math>",⠸⠶,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""normal"">a</mi><mo mathvariant=""normal"">&ap;</mo><mi mathvariant=""normal"">b</mi></math>",⠢⠢,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mo mathvariant=""normal"">&ap;</mo><mi mathvariant=""italic"">y</mi></math>",⠐⠳⠂,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""normal"">x</mi><mo mathvariant=""normal"">&ap;</mo><mi mathvariant=""normal"">y</mi></math>",⠢⠢,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mo mathvariant=""normal"">&ap;</mo><mi mathvariant=""italic"">y</mi></math>",⠐⠶,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mo mathvariant=""normal"">&ap;</mo><mi mathvariant=""italic"">y</mi></math>",⠎,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mo mathvariant=""normal"">&ap;</mo><mi mathvariant=""italic"">y</mi></math>",⠘⠒⠒,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mo mathvariant=""normal"">&ap;</mo><mi mathvariant=""italic"">y</mi></math>",⠸⠶,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mo mathvariant=""normal"">&ap;</mo><mi mathvariant=""italic"">y</mi></math>",⠢⠢,,⠸⠶,_7
double up tack (conditionally independent),⫫ ,,,,,,,,,,,,,,,,,⠼⠧,,,,,
double vertical bar,,,,⠸⠸,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mo mathvariant=""normal"">‖</mo><mi mathvariant=""italic"">x</mi><mo mathvariant=""normal"">‖</mo></math>",⠈⠿,,⠸⠇,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mo mathvariant=""normal"">&Vert;</mo><mi mathvariant=""italic"">x</mi><mi mathvariant=""normal"">+</mi><mi mathvariant=""italic"">y</mi><mo mathvariant=""normal"">&Vert;</mo></math>",⠹⠹,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mo mathvariant=""normal"">&Vert;</mo><mi mathvariant=""italic"">x</mi><mi mathvariant=""normal"">+</mi><mi mathvariant=""italic"">y</mi><mo mathvariant=""normal"">&Vert;</mo></math>",⠘⠿,,⠿⠿,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mo mathvariant=""normal"">&Vert;</mo><mi mathvariant=""italic"">x</mi><mi mathvariant=""normal"">+</mi><mi mathvariant=""italic"">y</mi><mo mathvariant=""normal"">&Vert;</mo></math>",⠸⠸,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mo mathvariant=""normal"">&Vert;</mo><mi mathvariant=""italic"">x</mi><mo mathvariant=""normal"">&Vert;</mo></math>",,,,,,
double-struck capital c (complex numbers set),,,,,,⠨⠨⠉,,⠸⠉,,,,,,⠨⠉,,,,,,,,,
double-struck capital n (natural numbers set),,,,,,⠨⠨⠝,,⠸⠝,,⠈⠝,,⠨⠨⠝,,⠨⠝,,,,,,,,,
double-struck capital q (rational numbers set),,,,,,⠨⠨⠟,,⠸⠟,,⠈⠟,,,,⠨⠟,,,,,,,,,
double-struck capital r (real numbers),,,,,,⠨⠨⠗,,⠸⠗,,⠈⠗,,⠨⠨⠗,,⠨⠗,,,,,,,,,
double-struck capital z (integer numbers set),,,,,,⠨⠨⠵,,⠸⠵,,⠈⠵,,,,⠨⠵,,,,,,,,,
down right diagonal ellipsis,,,,,,,,,,,,,,,,,,,,,,⠰⠄⠄⠄,;'''
downwards arrow from bar,,,,,,,,,,,,,,,,,,,,,,⠻⠩⠳⠒⠒⠕,}%|33o
downwards arrow with corner leftwards,,,,,,,,,,,,,,,,,,,,,,⠻⠳⠲⠩,}|4%
downwards arrow with double stroke,,,,,,,,,,,,,,,,,,,,,,⠳⠳⠈⠻⠩⠒⠒⠕⠻,||@}%33o}
downwards arrow with tip leftwards,,,,,,,,,,,,,,,,,,,,,,⠻⠳⠲,}|4
downwards arrow with tip rightwards,,,,,,,,,,,,,,,,,,,,,,⠻⠳⠴,}|0
downwards dashed arrow,,,,,,,,,,,,,,,,,,,,,,⠻⠩⠒ ⠒⠕,}%3 3o
downwards double arrow,,,,,,,,,,,,,,,,⠘⠦⠝⠠⠏⠊⠇⠘⠴,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mi mathvariant=""normal""> </mi><mo mathvariant=""normal"">⇓</mo><mi mathvariant=""normal""> </mi><mi mathvariant=""italic"">y</mi></math>",,,,,⠻⠣⠒⠒⠕⠕,}<33oo
downwards harpoon with barb leftwards,,,,,,,,,,,,,,,,,,,,,,⠻⠩⠒⠒⠠⠕,"}%33,o"
downwards harpoon with barb rightwards,,,,,,,,,,,,,,,,,,,,,,,
downwards paired arrows,,,,,,,,,,,,,,,,,,,,,,⠻⠩⠒⠒⠕⠐⠻⠩⠒⠒⠕,"}%33o""}%33o"
downwards two headed arrow,,,,,,,,,,,,,,,,,,,,,,⠻⠩⠒⠒⠕⠕,}%33oo
downwards white arrow,,,,,,,,,,,,,,,,,,,,,,⠻⠩⠸⠒⠒⠕,}%_33o
downwards zig zag arrow,,,,,,,,,,,,,,,,,,,,,,,
elevates nearer arrowhead by 45 degrees,,,,,,,,,,,,,,,,,,,,,,,
ellipse (oval),,,,,,,,,,,,,,,,,,,,,,,
ellipsis,,⠲⠲⠲,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mn mathvariant=""normal"">2</mn><mo mathvariant=""normal"">,</mo><mn mathvariant=""normal"">4</mn><mo mathvariant=""normal"">,</mo><mn mathvariant=""normal"">6</mn><mo mathvariant=""normal"">,</mo><mtext class=""unknown_entity"" mathvariant=""normal"">...</mtext><mo mathvariant=""normal"">,</mo><mn mathvariant=""normal"">2</mn><mn mathvariant=""normal"">0</mn></math>",,,⠄⠄⠄,,,,,,,,⠄⠄⠄,,,,,,⠲⠲⠲,,,
Στον Russian το δεύτερο είναι αποσιωπητικά σε μαθηματικό πλαίσιο,,,,,,,,,,,,,,,,,,,,⠠⠄,,,
empty set ( represented by facing braces ),,⠸⠣⠀⠸⠜,,,,,,⠐⠇⠸⠂,,,,,,⠯⠽,,,,,,,,,
empty set ( represented by zero with vertical or oblique bar through it),∅,⠈⠚,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mo mathvariant=""normal"">&emptyv;</mo><mo mathvariant=""normal"">&SubsetEqual;</mo><mi mathvariant=""normal"">A</mi></math>",⠳⠴,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">A</mi><mi mathvariant=""normal"">=</mi><mo mathvariant=""normal"">&emptyv;</mo></math>",⠯⠕,,⠸⠚,,⠻⠔,,⠘⠼,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>A</mi><mo>=</mo><mo>&#x2205;</mo></math>",⠯⠽,,⠈⠕,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mo>&#x2205;</mo><mo>&#x2282;</mo><mi>B</mi></math>",⠳⠴,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">A</mi><mo mathvariant=""normal"">=</mo><mo mathvariant=""normal"">∅</mo></math>",⠈⠴,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">A</mi><mi mathvariant=""normal"">=</mi><mo mathvariant=""normal"">&emptyv;</mo></math>",⠬⠴,
English-letter indicator,,,,⠰,,,,,,,,,,,,,,,,,,,
enlarged left barred brace,,,,,,,,,,,,,,,,,,,,,,,
enlarged left square bracket,,⠠⠨⠣,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mrow><mo>[</mo><mtable><mtr><mtd><mn mathvariant=""normal"">3</mn><mi mathvariant=""normal"">&MediumSpace;</mi><mi mathvariant=""normal"">&MediumSpace;</mi><mi mathvariant=""normal"">&MediumSpace;</mi><mn mathvariant=""normal"">8</mn></mtd></mtr><mtr><mtd><mn mathvariant=""normal"">4</mn><mi mathvariant=""normal"">&MediumSpace;</mi><mi mathvariant=""normal"">&MediumSpace;</mi><mi mathvariant=""normal"">&MediumSpace;</mi><mn mathvariant=""normal"">6</mn></mtd></mtr></mtable><mo>]</mo></mrow></math>",,,,,,,,,⠘⠷,,,,⠻⠷,,,,,,,
(second symbol  in Antoine is enlarged  ),,,,,,,,,,,,⠐⠷,,,,,,,,,,,
enlarged right barred brace,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
enlarged right square bracket,,⠠⠨⠜,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mrow><mo>[</mo><mtable><mtr><mtd><mn mathvariant=""normal"">3</mn><mi mathvariant=""normal"">&MediumSpace;</mi><mi mathvariant=""normal"">&MediumSpace;</mi><mi mathvariant=""normal"">&MediumSpace;</mi><mn mathvariant=""normal"">8</mn></mtd></mtr><mtr><mtd><mn mathvariant=""normal"">4</mn><mi mathvariant=""normal"">&MediumSpace;</mi><mi mathvariant=""normal"">&MediumSpace;</mi><mi mathvariant=""normal"">&MediumSpace;</mi><mn mathvariant=""normal"">6</mn></mtd></mtr></mtable><mo>]</mo></mrow></math>",,,,,,,,,⠘⠾,,,,⠻⠾,,,,,,,
,,,,,,,,,,,,⠐⠾,,,,,,,,,,,
equal and parallel to,,,,,,⠈⠿⠶,,⠸⠇⠶,,⠐⠌⠌⠶,,,,⠐⠿⠶,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">A</mi><mi mathvariant=""italic"">B</mi><mo mathvariant=""normal"">⋕</mo><mi mathvariant=""italic"">C</mi><mi mathvariant=""italic"">D</mi></math>",,,,,,,⠸⠸⠶,__7
equals sign followed by colon,,,,,,⠶⠒,,⠶⠆,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>A</mi><mo>≕</mo><mi>B</mi></math>",,,,,,,,,,,,,,
equals sign over and bar under logical sum,,,,,,,,,,,,,,,,,,,,,,,
equals sign over and bar under logical product,,,,,,,,,,,,,,,,,,,,,,,
equals sign over and equals sign under logical product,,,,,,,,,,,,,,,,,,,,,,,
equals sign over double tilde,,,,,,,,,,,,,,,,,,,,,,,
equals sign over greater than ( is equal to or greater than ),,,,,,,,⠕⠶,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mo mathvariant=""normal"">⪚</mo><mi mathvariant=""italic"">y</mi></math>",,,,,,,,,,,,,,
equals sign over inclusion sign (is a subset of),,,,,,,,⠣⠆,,,,,,,,,,,,,,,
equals sign over reverse inclusion sign,,,,,,,,,,,,,,,,,,,,,,,
equals sign over less than ( is equal to or less than ),,,,,,,,⠪⠶,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>x</mi><mo>⪙</mo><mi>y</mi></math>",,,,,,,,,,,,,,
equals sign over logical product,,,,,,⠶⠬,,⠸⠻,,,,,,,,,,,,,,,
equals sign over logical sum,,,,,,,,,,,,,,,,,,,,,,,
equals sign over reverse inclusion sign,,,,,,,,⠰⠜,,,,,,,,,,,,,,,
equals sign over single tilde,,,,,,,,⠶⠢⠄,,,,,,,,,,,,,,,
equals sign under tilde,≅,⠐⠸⠔,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mo mathvariant=""normal"">&angle;</mo><mi mathvariant=""normal"">C</mi><mo mathvariant=""normal"">&cong;</mo><mo mathvariant=""normal"">&angle;</mo><mi mathvariant=""normal"">D</mi></math>",⠐⠤⠶,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">X</mi><mo mathvariant=""normal"">≅</mo><mi mathvariant=""italic"">Y</mi></math>",⠢⠶,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mo mathvariant=""normal"">&cong;</mo><mi mathvariant=""italic"">y</mi></math>",⠐⠢⠶,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mo mathvariant=""normal"">&cong;</mo><mi mathvariant=""italic"">y</mi></math>",⠢⠶,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mo mathvariant=""normal"">≅</mo><mi mathvariant=""italic"">y</mi></math>",⠸⠶,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mo mathvariant=""normal"">≅</mo><mi mathvariant=""italic"">y</mi></math>",⠿,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mo mathvariant=""normal"">≅</mo><mi mathvariant=""italic"">y</mi></math>",⠘⠒⠶,,⠰⠶,,,,⠸⠶⠶,_77
equals sign under double tilde,,,,,,,,,,,,,,,,,,,,,,,
equals sign under greater than ( is greater than or equal to ),,,,,,,,⠕⠶,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mi mathvariant=""normal""> </mi><mo mathvariant=""normal"">≧</mo><mi mathvariant=""normal""> </mi><mi mathvariant=""italic"">y</mi></math>",,,,,⠜⠶,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mi mathvariant=""normal""> </mi><mo mathvariant=""normal"">≧</mo><mi mathvariant=""normal""> </mi><mi mathvariant=""italic"">y</mi></math>",,,,,,,,
equals sign under inclusion sign (is a subset of),,,,,,,,⠣⠆,,⠐⠣⠶,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">A</mi><mo mathvariant=""normal"">⫅</mo><mi mathvariant=""italic"">B</mi></math>",,,,,,,,,,,,
equals sign under intersection sign,,,,,,,,,,,,,,,,,,,,,,,
equals sign under less than sign (is less than or equal to),,,,,,,,⠪⠶,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mo mathvariant=""normal"">≦</mo><mi mathvariant=""italic"">y</mi></math>",,,,,⠣⠶,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mo mathvariant=""normal"">≦</mo><mi mathvariant=""italic"">y</mi></math>",,,,,,,,
equals sign under logical product,,,,,,,,,,,,,,,,,,,,,,,
equals sign under logical sum,,,,,,,,,,,,,,,,,,,,,,,
equals sign under reverse inclusion sign,,,,,,,,⠰⠜,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">A</mi><mo mathvariant=""normal"">⫆</mo><mi mathvariant=""italic"">B</mi></math>",⠐⠜⠶,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">A</mi><mo mathvariant=""normal"">⫆</mo><mi mathvariant=""italic"">B</mi></math>",,,,,,,,,,,,
equals sign under union sign ,,,,,,,,,,,,,,,,,,,,,,,
equals sign with superposed inclusion sign,,,,,,,,,,,,,,,,,,,,,,,
superposed reverse inclusion sign,,,,,,,,,,,,,,,,,,,,,,,
equilateral triangle over equals sign,,,,⠰⠰⠶,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">A</mi><mo mathvariant=""normal"">≜</mo><mi mathvariant=""italic"">B</mi></math>",,,,,,,,,,,,,,,,,,
equivalence,,,,,,,,,,,,,,,,,,,,,,,
equivalent to (asymptotically),,,,,,,,,,,,,,,,,,,,,,⠰⠶⠶,;77
error function,,,,,,,,,,,,,,,,,,,,,,,
euro,,,,⠈⠑,,⠸⠈⠑,,,,,,⠘⠑,,⠨⠑,,⠘⠑,,⠈⠑,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>1</mn><mo>€</mo></math>",,,⠈⠑, @e
exclamation point,!,⠖,,,,,,,,,,,,,,⠖,,⠲,,⠖,,,
"existential quantifier (there exists uniquely, for exactly one)",,,,,,,,⠨⠆,,,,⠸⠡⠖,,⠨⠆,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mo>&#x2203;</mo><mo>!</mo><mo>&#xA0;</mo><mi>x</mi></math>",,,,,,,, 
"existential quantifier (there exists, for some)",,⠘⠢,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mo mathvariant=""normal"">&Exists;</mo><mi mathvariant=""normal"">x</mi></math>",⠳⠢,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mo mathvariant=""normal"">&Exists;</mo><mi mathvariant=""normal"">x</mi></math>",⠯⠢,,⠨⠢,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mo>&#x2203;</mo><mi>A</mi></math>",⠯⠢,,⠸⠡,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mo>&#x2203;</mo><mi>x</mi></math>",⠨⠢,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mo mathvariant=""normal"">&Exists;</mo><mi mathvariant=""normal"">x</mi></math>",⠻⠠⠑,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mo>&#x2203;</mo><mi>x</mi></math>",⠳⠢,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mo mathvariant=""normal"">&Exists;</mo><mi mathvariant=""normal"">x</mi></math>",⠫⠢,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mo mathvariant=""normal"">&Exists;</mo><mi mathvariant=""normal"">x</mi></math>",⠈⠿, @=
exponential ,,,,⠫⠑⠭⠏,,⠫⠑,,,,,,,,,,,,,,⠫⠑,,,
exsecant,,,,,,,,,,,,,,,,,,,,,,,
extended tilde,,,,,,,,,,,,,,,,,,,,,,,
exterior angles,,,,,,,,,,,,,,,,,,,,,,,
factorial,,⠖,,⠠⠖,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mn mathvariant=""normal"">3</mn><mo mathvariant=""normal"">!</mo></math>",⠫,,⠘⠄,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">n</mi><mo mathvariant=""normal"">!</mo></math>",⠠⠖,,⠸⠔,,⠸⠄,,⠖,n!,⠠⠲,,,,,
filled-in shape indicator,,⠸⠫,,,,,,,,,,,,,,,,,,,,,
filled-in square,,⠸⠫⠼⠙,,,,,,,,,,,,,,,,,,,,⠻⠙⠒, }d3
first inner radical indicator,,,,,,,,,,,,,,,,,,,,,,,
fourth root,,⠩⠔⠼⠙,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mroot><msup><mi>x</mi><mn>3</mn></msup><mn>4</mn></mroot></math>",⠩⠲,,⠌⠲⠩,,⠫⠼⠙⠱,,⠼⠌⠲⠩,,⠈⠹⠜,,⠪⠼⠙⠒,,⠬⠼⠙⠩,,⠩⠼⠙⠐ ,,⠩⠲⠱,,⠐⠩⠲," ""%4"
french franc sign,,⠈⠋,,,,⠸⠨⠋⠗⠄,,,,,,⠨⠋,,,,,,,,,,⠈⠋, @f
general reference indicator,,,,,,,,,,,,,,,,,,,,,,,
German-letter indicator,,,,,,,,,,,,,,,,,,,,,,,
gradient,,,,⠫⠛,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi class=""unknown_entity"" mathvariant=""normal"">grad</mi><mi mathvariant=""italic"">f</mi></math>",⠫⠛,,,,,,,,,,,,,,,,,
greater than sign ( regular ),,⠈⠜ ,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mo mathvariant=""normal"">&gt;</mo><mi mathvariant=""italic"">y</mi></math>",⠕,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mo mathvariant=""normal"">></mo><mi mathvariant=""italic"">y</mi></math>",⠕⠂,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mo mathvariant=""normal"">&gt;</mo><mi mathvariant=""italic"">y</mi></math>",⠕,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mo mathvariant=""normal"">></mo><mi mathvariant=""italic"">y</mi></math>",⠈⠕,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mo mathvariant=""normal"">></mo><mi mathvariant=""italic"">y</mi></math>",⠐⠜,x>y,⠜,x>y,⠼⠕,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>&#x3C0;</mi><mo>&gt;</mo><mn>3</mn></math>",⠱,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mo mathvariant=""normal"">></mo><mi mathvariant=""italic"">y</mi></math>",⠕,x>y,,
greater than sign followed by equals sign followed by less than sign,,,,,,,,,,,,,,,,,,,,,,,
greater than sign followed by less than sign,,,,⠕⠪,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mo mathvariant=""normal"">⪥</mo><mi mathvariant=""italic"">y</mi></math>",,,,,,,⠐⠜⠐⠣,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mo mathvariant=""normal"">⪥</mo><mi mathvariant=""italic"">y</mi></math>",,,,,⠱⠣,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mo mathvariant=""normal"">⪥</mo><mi mathvariant=""italic"">y</mi></math>",,,,
greater than sign with curved sides ,,,,,,,,⠕⠂,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mo mathvariant=""normal"">≻</mo><mi mathvariant=""italic"">y</mi></math>",,,⠨⠨⠜,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mo mathvariant=""normal"">≻</mo><mi mathvariant=""italic"">y</mi></math>",,,,,,,,,,
greater than sign with curved sides over curved bar (succeeds or is equal to),,,,,,,,,,,,⠘⠘⠜,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>x</mn><mo>&#x227d;</mo><mn>y</mn></math>",,,,,,,,,,
greater-than or equivalent to,,,,⠕⠸⠶,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mo mathvariant=""normal"">≳</mo><mi mathvariant=""italic"">y</mi></math>",,,,,,,,,,,,,,,,,⠸⠘⠔,_^9
greater-than or less-than,,,,,,⠕⠂⠪⠄,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mo mathvariant=""normal"">≷</mo><mi mathvariant=""italic"">y</mi></math>",,,,,,,,,⠼⠕⠪,,,,,,,
greater-than over equals sign over less-than,,,,,,⠕⠶⠪⠄,,,,,,,,,,,,,,, ,,
