Symbol Name,Character,UEB,UEB MathML example,BAUK,BAUK MathML example,Marburg,Marburg Mathml example,Unified Spanish ,Unified Spanish mathml example,Woluwe,Woluwe mathml example,Antoine,Antoine mathml example,Italian,Italian mathml example,Swedish,Sweden mathml example,Finnish,Mathml  example,Russian,Mathml example,Unified Arabic,Unified Arabic ASCII
arccosec,,,,⠫⠈⠣,,⠫⠂⠣,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi class=""unknown_entity"" mathvariant=""normal"">arccosec</mi><mi mathvariant=""normal""> </mi><mi mathvariant=""italic"">x</mi></math>",,,,,,,,,,,⠁⠗⠉⠉⠕⠎⠑⠉,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi class=""unknown_entity"" mathvariant=""normal"">arccosec</mi><mi mathvariant=""normal""> </mi><mi mathvariant=""italic"">x</mi></math>",,,,
arccosech,,,,⠫⠦⠣,,,,⠁⠗⠛⠄⠉⠕⠎⠑⠉⠓⠄,,,,,,,,,,,,,,,
arccot,,,,⠫⠈⠳,,⠫⠂⠳,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi class=""unknown_entity"" mathvariant=""normal"">arccot</mi><mi mathvariant=""normal""> </mi><mi mathvariant=""italic"">x</mi></math>",⠁⠗⠉⠄⠉⠕⠞⠛⠄,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi class=""unknown_entity"" mathvariant=""normal"">arccot</mi><mi mathvariant=""normal""> </mi><mi mathvariant=""italic"">x</mi></math>",,,⠘⠨⠮,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>arccot</mi><mo>(</mo><mi>a</mi><mo>+</mo><mi>b</mi><mo>)</mo></math>",,,,,,,⠫⠁⠉⠞,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi class=""unknown_entity"" mathvariant=""normal"">arccot</mi><mi mathvariant=""normal""> </mi><mi mathvariant=""italic"">x</mi></math>",,
,,,,,,,,,,,,⠁⠗⠉⠉⠕⠞⠁⠝,,,,,,,,,,,
arcosh,,,,⠫⠦⠉,,⠫⠂⠦⠉,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi class=""unknown_entity"" mathvariant=""normal"">arcosh</mi><mi mathvariant=""italic"">x</mi></math>",⠁⠗⠛⠄⠉⠓⠄,,,,,,,,,,,,,,,
arcoth,,,,⠫⠦⠳,,⠫⠂⠦⠳,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi class=""unknown_entity"" mathvariant=""normal"">arcoth</mi><mi mathvariant=""italic"">x</mi></math>",⠁⠗⠛⠄⠉⠞⠓⠄,,,,,,,,,,,,,,,
arcsecant,,,,⠫⠈⠤,,⠫⠂⠤,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi class=""unknown_entity"" mathvariant=""normal"">arcsec</mi><mi mathvariant=""normal""> </mi><mi mathvariant=""italic"">x</mi></math>",⠁⠗⠉⠄⠎⠑⠉⠄,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi class=""unknown_entity"" mathvariant=""normal"">arcsec</mi><mi mathvariant=""normal""> </mi><mi mathvariant=""italic"">x</mi></math>",,,,,,,,,,,,,,
arcsin,,,,⠫⠈⠎,,⠫⠂⠎,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi class=""unknown_entity"" mathvariant=""normal"">arcsin</mi><mi mathvariant=""italic"">x</mi></math>",⠁⠎⠊⠝⠄,,,,⠘⠬,,,,⠁⠗⠉⠎⠊⠝,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi class=""unknown_entity"" mathvariant=""normal"">arcsin</mi><mi mathvariant=""italic"">x</mi></math>",⠁⠗⠉⠎⠊⠝,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi class=""unknown_entity"" mathvariant=""normal"">arcsin</mi><mi mathvariant=""italic"">x</mi></math>",⠫⠁⠎,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi class=""unknown_entity"" mathvariant=""normal"">arcsin</mi><mi mathvariant=""italic"">x</mi></math>",,
,,,,,,,,⠁⠗⠉⠄⠎⠑⠝⠄,,,,⠁⠗⠉⠎⠊⠝,,,,,,,,,,,
arctan,,,,⠫⠈⠞,,,,⠁⠗⠉⠄⠞⠛⠄,,,,⠘⠮,,,,⠁⠗⠉⠞⠁⠝,,,,⠫⠁⠞,,,
,,,,,,,,,,,,⠁⠗⠉⠞⠁⠝,,,,,,,,,,,
argument,,,,⠫⠁⠗⠛,,⠫⠷,,,,,,,,,,,,,,,,,
arrow barbed at both ends,↔,,↔,,,,,⠐⠒⠂,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mover><mrow><mi>A</mi><mi>B</mi></mrow><mo>&#x2194;</mo></mover></math>",,,,,,,,,,,,,,
arrow barbed at left,,,←,,,⠐⠒,,⠐⠒,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mover><mi>z</mi><mo>&#x2190;</mo></mover></math>",,,,,,,,,,,⠐⠒,,,
arrow barbed at left and dotted at right,,,,,,,,,,,,,,,,,,,,,,,
arrow barbed at right (contracted form),,,,,,,,,,,,,,,,,,,,,,,
arrow barbed at right (uncontracted form),→,,→,,,⠒⠂,,⠒⠂,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mover><mi>z</mi><mo>&#x2192;</mo></mover></math>",,,,,,,,,,,⠒⠂,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mo>|</mo><mover><mi>a</mi><mo>&#x2192;</mo></mover><mo>|</mo></math>",,
,,,,,,,,,,,,,,,,,,,,,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mover><mrow><mi>A</mi><mi>B</mi></mrow><mo>&#x2192;</mo></mover></math>",,
arrow dotted at both ends,,,,,,,,,,,,,,,,,,,,,,,
arrow dotted at left (no barb),,,,,,,,,,,,,,,,,,,,,,,
arrow dotted at left and barbed at right,,,,,,,,,,,,,,,,,,,,,,,
arrow dotted at right (no barb),,,,,,,,,,,,,,,,,,,,,,,
arrow pointing down,,⠳⠩,,⠒⠢,,⠹⠆⠂,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mo mathvariant=""normal"">&darr;</mo><mi mathvariant=""italic"">y</mi></math>",⠸⠄,,⠈⠩,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mo mathvariant=""normal"">↓</mo><mi mathvariant=""italic"">y</mi></math>",⠨⠻,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mo mathvariant=""normal"">↓</mo><mi mathvariant=""italic"">y</mi></math>",,,⠘⠦⠝⠏⠊⠇⠘⠴⠀,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mo mathvariant=""normal"">↓</mo><mi mathvariant=""italic"">y</mi></math>",,,,,⠻⠳⠩,}|%
arrow pointing down followed by arrow pointing up,,,,,,,,,,,,,,,,,,,,,,⠻⠩⠒⠒⠕⠐⠻⠣⠒⠒⠕,"}%33o""}<33o"
arrow pointing down followed by boldface arrow pointing up,,,,,,,,,,,,,,,,,,,,,,,
arrow pointing left over boldface arrow pointing right,,,,,,,,,,,,,,,,,,,,,,,
arrow pointing right over arrow pointing left,⇄,⠰⠳⠕⠻⠳⠪,,⠢⠒⠑,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">A</mi><mo mathvariant=""normal"">⇄</mo><mi mathvariant=""italic"">B</mi></math>",,,,,,,⠸⠻,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mo mathvariant=""normal"">⇄</mo><mi mathvariant=""italic"">y</mi></math>",,,⠒⠕⠪⠒,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mo mathvariant=""normal"">⇄</mo><mi mathvariant=""italic"">y</mi></math>",,,,,⠻⠒⠒⠕⠻⠪⠒⠒,]33o][33
arrow pointing right over boldface arrow pointing left,,,,,,,,,,,,,,,,,,,,,,,
arrow pointing up,↑,⠳⠬,,⠒⠊,,⠹⠐⠆,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mo mathvariant=""normal"">&uarr;</mo><mi mathvariant=""italic"">y</mi></math>",⠸⠁,,⠠⠬,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>x</mi><mo mathvariant=""normal"">↑</mo><mi>y</mi></math>",⠘⠻,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>x</mi><mo mathvariant=""normal"">↑</mo><mi>y</mi></math>",,,⠘⠦⠥⠏⠊⠇⠘⠴,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>x</mi><mo mathvariant=""normal"">↑</mo><mi>y</mi></math>",,,,,⠻⠳⠬,]\+
arrow pointing up followed by arrow pointing down,⇅,,,,,,,,,,,,,,,,,,,,,⠻⠣⠒⠒⠕⠐⠻⠩⠒⠒⠕,"]<33o""]%33o"
arrow pointing up followed by boldface arrow pointing down,,,,,,,,,,,,,,,,,,,,,,,
arrow with hollow dot at both ends,,,,,,,,,,,,,,,,,,,,,,,
arrow with hollow dot at left (no barb),,,,,,,,,,,,,,,,,,,,,,,
arrow with hollow dot at left and barbed at right,,,,,,,,,,,,,,,,,,,,,,,
arrow with hollow dot at right (no barb),,,,,,,,,,,,,,,,,,,,,,,
arrow with hollow dot at right and barbed at left,,,,,,,,,,,,,,,,,,,,,,,
arrow with upper barb pointing right over arrow with lower barb pointing left,⇌,⠘⠸⠶,,⠢⠒⠑,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">A</mi><mo mathvariant=""normal"">⇌</mo><mi mathvariant=""italic"">B</mi></math>",,,,,,,,,,,⠘⠦⠓⠧⠓⠁⠗⠏⠥⠝⠘⠴,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mo mathvariant=""normal"">⇌</mo><mi mathvariant=""italic"">y</mi></math>",,,,,⠻⠘⠸⠶,}^_7
arcosh,,,,⠫⠦⠉,,⠫⠂⠦⠉,,⠁⠗⠛⠄⠉⠓⠄,,,,,,,,,,,,,,,
arsinh,,,,⠫⠦⠎,,⠫⠂⠦⠎,,⠁⠗⠛⠄⠎⠓⠄,,,,,,,,,,⠁⠗⠎⠊⠝⠓,,,,,
artanh,,,,⠫⠦⠞,,⠫⠂⠦⠞,,⠁⠗⠛⠄⠞⠓⠄,,,,,,,,,,,,,,,
assertion,,⠸⠒,,⠸⠂,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">p</mi><mo mathvariant=""normal"">⊦</mo><mi mathvariant=""italic"">q</mi></math>",,,⠸⠒,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mo mathvariant=""normal"">⊦</mo><mo>(</mo><mi>A</mi><mo>&#x2228;</mo><mo>&#xAC;</mo><mi>A</mi><mo>)</mo></math>",,,,,,,⠻⠁,,,,,,,
asterisk,,⠐⠔,,⠳⠶,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mi mathvariant=""normal"">*</mi><mi mathvariant=""italic"">y</mi></math>",⠐⠦,,⠐⠆,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mi mathvariant=""normal"">*</mi><mi mathvariant=""italic"">y</mi></math>",⠐⠴,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mi mathvariant=""normal"">*</mi><mi mathvariant=""italic"">y</mi></math>",⠐⠔,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mi mathvariant=""normal"">*</mi><mi mathvariant=""italic"">y</mi></math>",,,⠔,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mi mathvariant=""normal"">*</mi><mi mathvariant=""italic"">y</mi></math>",,,,,,
